 ID         Focal    Az   El   Azs  Els
  1 659579.814147  19.8 69.3 150.3 50.8
  4 623217.430403 267.3 81.9 156.3 47.2
  5 648021.166769 111.7 72.2 155.7 42.6
  6 640911.280574  42.6 74.3 158.6 33.5
  7 633229.634509 218.4 77.0 158.9 33.5
  8 642511.774474 212.8 73.8 155.0 36.0
  9 675916.848195 205.6 65.9 155.1 36.0
 11 619750.474543 144.3 84.6 152.9 36.8
 12 647299.665059   3.8 72.4 150.2 42.2
 13 654949.438778 187.7 70.4 135.1 64.9
 14 669789.161088 260.3 67.1 137.0 68.4
 15 691250.059372  85.4 63.2 125.0 66.3
 16 658286.414246 218.4 69.6 131.6 69.2
 18 620991.825075 247.6 83.5 120.6 72.4
 22 631736.984541  53.4 77.6 163.0 43.8
 25 667354.547604 212.5 67.6 156.6 42.7
 26 710312.704230 268.1 60.3 158.6 45.8
